Baden-Württemberg,Germany,11245898
Bayern,Germany,13248928
Berlin,Germany,3685265
Brandenburg,Germany,2556747
Bremen,Germany,704881
Hamburg,Germany,1862565
Hessen,Germany,6280793
Mecklenburg-Vorpommern,Germany,1573597
Niedersachsen,Germany,8004489
Nordrhein-Westfalen,Germany,18034454
Rheinland-Pfalz,Germany,4129569
Saarland,Germany,1012141
Sachsen,Germany,4042422
Sachsen-Anhalt,Germany,2135597
Schleswig-Holstein,Germany,2959517
Thüringen,Germany,2100277
Burgenland,Austria,301790
Carinthia,Austria,570095
Lower Austria,Austria,1727514
Upper Austria,Austria,1535519
Salzburg,Austria,572846
Styria,Austria,1271716
Tyrol,Austria,77660
Vorarlberg,Austria,411784
Vienna,Austria,2028289
Aargau,Switzerland,735808
Appenzell Ausserrhoden [Appenzell Outer Rhodes],Switzerland,56705
Appenzell Innerrhoden [Appenzell Inner Rhodes],Switzerland,16733
Basel-Landschaft [Basel-Country],Switzerland,301323
Basel-Stadt [Basel-City],Switzerland,201384
Bern,Switzerland,1071216
Fribourg,Switzerland,346674
Genève,Switzerland,531102
Glarus,Switzerland,42371
Graubünden [Grisons],Switzerland,206138
Jura,Switzerland,74840
Luzern,Switzerland,437944
Neuchâtel,Switzerland,179518
Nidwalden [Nidwald],Switzerland,45345
Obwalden [Obwald],Switzerland,39662
Schaffhausen,Switzerland,88667
Schwyz,Switzerland,168931
Solothurn,Switzerland,289792
St. Gallen,Switzerland,540036
Thurgau,Switzerland,299509
Ticino,Switzerland,358903
Uri,Switzerland,38275
Valais,Switzerland,371288
Vaud,Switzerland,855106
Zug,Switzerland,133739
Zürich,Switzerland,1620020
